,0
0095716,4.5
0074958,8.1
0151738,6.0
1334260,7.1
5311542,7.7
0102526,6.6
0363282,5.0
6484982,7.6
0435705,6.2
0195945,6.2
0113972,6.3
0477347,6.5
1078912,6.0
0063350,7.8
0128886,5.6
0100260,6.5
0875034,5.8
1186367,6.3
0031725,7.8
0113987,7.0
1411238,6.2
1959490,5.8
4550098,7.4
0079638,7.3
0790721,5.0
4191702,6.1
0053125,8.3
0465551,7.4
0058414,7.9
0472198,6.7
0125439,7.2
4513316,6.7
1670345,7.2
0171580,6.3
1483013,7.0
1197628,5.8
1198138,5.0
0054135,6.5
5164214,6.3
0240772,7.7
0349903,6.5
3967856,7.3
0364569,8.3
2302755,6.5
0082846,7.6
4669788,7.1
0093593,7.1
0047296,8.1
1196956,6.8
0118531,6.6
0073486,8.6
0021214,5.7
0023305,7.5
0031762,7.6
1602613,5.7
1714915,7.2
0081283,7.7
0114057,6.8
0120780,7.0
2542334,8.0
0525549,7.4
0082869,6.6
4530422,6.6
1663662,6.9
8291806,7.5
9484998,7.4
0457430,8.2
1188729,6.7
0258000,6.8
0114084,6.4
0070510,8.1
1623288,7.0
1262990,5.0
1233334,7.2
0087884,8.1
0105104,5.9
1355644,7.0
0066206,7.9
1092026,6.9
1596345,7.0
0120784,7.1
0213149,6.3
0054167,7.6
0091738,6.4
0814255,5.9
0837563,5.7
0105128,4.9
5776858,7.4
0107818,7.7
2431286,7.6
0183649,7.1
0138704,7.3
1017495,8.7
0235326,7.3
0910936,6.9
0464154,5.5
0449088,7.1
1790809,6.5
0325980,8.1
0134847,7.0
1981677,7.1
2848292,6.4
2120120,5.6
0762125,6.0
0133152,5.7
0091763,8.1
1729217,6.8
0120789,7.5
0878835,6.6
0107840,6.1
0102685,7.3
0084516,7.3
0081353,5.4
0100395,6.7
5016504,7.9
0929632,7.3
0093773,7.8
0100403,6.3
1424381,6.4
0100405,7.1
0414387,7.8
0822847,5.7
0093777,6.7
0473075,6.5
1392214,8.2
0081383,5.3
1446714,7.0
2091473,6.6
0054215,8.5
0110912,8.8
0272338,7.3
0087957,6.5
0239860,5.9
1441951,6.8
8722346,7.1
0238546,5.3
0180073,7.2
4335006,6.0
0043949,7.1
1245526,7.0
0120801,7.0
0935075,6.9
5628902,5.2
1084950,6.6
0191391,4.1
0081398,8.1
0082971,8.4
0822849,6.6
9170108,7.4
0093822,7.3
0102753,6.5
0089880,6.5
0089881,8.2
1677720,7.4
0110907,5.2
0089886,6.9
0110950,6.6
0047396,8.5
2304953,5.7
0421239,6.4
2873282,6.6
0253556,6.2
0184858,5.8
1403981,7.1
0804522,6.8
0294870,6.8
1053424,6.3
0180093,8.3
0831884,6.6
6493238,6.4
0120804,6.6
0432021,6.2
2948790,5.1
0959337,7.3
3513548,7.5
0117480,4.5
0178868,7.2
1446192,7.2
1318514,7.6
0257044,7.6
0111002,6.5
4532826,5.4
0102798,6.9
0086203,6.4
1032755,7.2
0075148,8.1
0479143,7.1
0100507,5.4
0076637,6.9
6155172,7.6
0088011,6.9
0117509,6.7
0165929,6.1
0122690,7.2
3170832,8.1
0063522,8.0
0041827,6.6
6241872,7.4
1839492,7.2
0163187,5.6
1979320,8.1
0266915,6.7
1536437,5.6
0128445,7.6
2053425,7.4
7068580,7.2
1231277,3.6
0257076,6.1
0258153,6.1
0035279,7.1
0047437,7.6
1599348,6.7
1862079,6.9
0944835,6.5
0047443,7.3
0091886,7.3
0539417,7.8
0881320,5.9
0486569,3.8
1700841,6.1
2140373,7.5
0120815,8.6
0098258,7.3
0086250,8.3
0175142,6.3
0257106,5.4
3387520,6.2
0105323,8.0
0108052,9.0
0267913,5.4
0446029,7.5
0120082,6.3
0134084,5.7
1262416,6.2
0096061,6.9
0114369,8.6
7668870,7.6
0108065,7.3
2126357,5.8
0327137,7.5
1028576,7.2
0839980,5.8
0114388,7.7
0379786,7.8
0221928,5.1
1931533,7.1
0120102,7.1
1135985,6.5
0098724,7.2
1000774,5.7
0203119,7.3
1770734,6.2
0138097,7.1
0111149,7.2
0073692,6.4
0365748,7.8
0815236,6.4
0988045,7.5
0117631,7.6
0073705,6.3
0084675,6.8
0413267,6.1
3397884,7.7
0286106,6.8
1045658,7.7
0075223,6.9
0090022,7.2
3544112,7.9
